obyGames Name,localTableID,URL,Category,platform,Master ID,Amazon_ID,Amazon_Search_Keywords,ebay_Search_Keywords,ebay_id,minimum_price_US$,
24-the-game,211, https://www.amazon.com/gp/search?ie=UTF8&amp;index=videogames&amp;tag=mobygames02-20&amp;keywords=24: The Game PlayStation 2,amazon,2,4226,,24: The Game PlayStation 2,,,0,
alone-in-the-dark-the-new-nightmare,654, https://www.amazon.com/gp/search?ie=UTF8&amp;index=videogames&amp;tag=mobygames02-20&amp;keywords=Alone in the Dark: The New Nightmare PlayStation 2,amazon,2,708,,Alone in the Dark: The New Nightmare PlayStation 2,,,0,
arthur-and-the-invisibles-the-game,834, https://www.amazon.com/gp/search?ie=UTF8&amp;index=videogames&amp;tag=mobygames02-20&amp;keywords=Arthur and the Invisibles: The Game PlayStation 2,amazon,2,4157,,Arthur and the Invisibles: The Game PlayStation 2,,,0,
avatar-the-last-airbender-into-the-inferno,919, https://www.amazon.com/gp/search?ie=UTF8&amp;index=videogames&amp;tag=mobygames02-20&amp;keywords=Avatar: The Last Airbender - Into the Inferno PlayStation 2,amazon,2,4031,,Avatar: The Last Airbender - Into the Inferno PlayStation 2,,,0,
backyard-baseball-09_,965, https://www.amazon.com/gp/search?ie=UTF8&amp;index=videogames&amp;tag=mobygames02-20&amp;keywords=Backyard Baseball &#39;09 PlayStation 2,amazon,2,4025,,Backyard Baseball &#39;09 PlayStation 2,,,0,
backyard-baseball-10,973, https://www.amazon.com/gp/search?ie=UTF8&amp;index=videogames&amp;tag=mobygames02-20&amp;keywords=Backyard Baseball &#39;10 PlayStation 2,amazon,2,#N/A,,Backyard Baseball &#39;10 PlayStation 2,,,0,
backyard-football-10,987, https://www.amazon.com/gp/search?ie=UTF8&amp;index=videogames&amp;tag=mobygames02-20&amp;keywords=Backyard Football &#39;10 PlayStation 2,amazon,2,4322,,Backyard Football &#39;10 PlayStation 2,,,0,
backyard-football-2006,995, https://www.amazon.com/gp/search?ie=UTF8&amp;index=videogames&amp;tag=mobygames02-20&amp;keywords=Backyard Football 2006 PlayStation 2,amazon,2,#N/A,,Backyard Football 2006 PlayStation 2,,,0,
barbie-as-the-island-princess,1090, https://www.amazon.com/gp/search?ie=UTF8&amp;index=videogames&amp;tag=mobygames02-20&amp;keywords=Barbie as the Island Princess PlayStation 2,amazon,2,4270,,Barbie as the Island Princess PlayStation 2,,,0,
bible-game,1363, https://www.amazon.com/gp/search?ie=UTF8&amp;index=videogames&amp;tag=mobygames02-20&amp;keywords=The Bible Game PlayStation 2,amazon,2,4075,,The Bible Game PlayStation 2,,,0,
bigs-2_,1382, https://www.amazon.com/gp/search?ie=UTF8&amp;index=videogames&amp;tag=mobygames02-20&amp;keywords=The Bigs 2 PlayStation 2,amazon,2,4100,,The Bigs 2 PlayStation 2,,,0,
biker-mice-from-mars__,1386, https://www.amazon.com/gp/search?ie=UTF8&amp;index=videogames&amp;tag=mobygames02-20&amp;keywords=Biker Mice from Mars PlayStation 2,amazon,2,4115,,Biker Mice from Mars PlayStation 2,,,0,
bratz-girlz-really-rock_,1662, https://www.amazon.com/gp/search?ie=UTF8&amp;index=videogames&amp;tag=mobygames02-20&amp;keywords=Bratz Girlz Really Rock PlayStation 2,amazon,2,1000,,Bratz Girlz Really Rock PlayStation 2,,,0,
brian-lara-international-cricket-2007,1703, https://www.amazon.com/gp/search?ie=UTF8&amp;index=videogames&amp;tag=mobygames02-20&amp;keywords=Brian Lara International Cricket 2007 PlayStation 2,amazon,2,675,,Brian Lara International Cricket 2007 PlayStation 2,,,0,
brothers-in-arms-earned-in-blood,1724, https://www.amazon.com/gp/search?ie=UTF8&amp;index=videogames&amp;tag=mobygames02-20&amp;keywords=Brothers in Arms: Earned in Blood PlayStation 2,amazon,2,4249,,Brothers in Arms: Earned in Blood PlayStation 2,,,0,
cartoon-network-racing_,1994, https://www.amazon.com/gp/search?ie=UTF8&amp;index=videogames&amp;tag=mobygames02-20&amp;keywords=Cartoon Network Racing PlayStation 2,amazon,2,4234,,Cartoon Network Racing PlayStation 2,,,0,
cocoto-kart-racer,2278, https://www.amazon.com/gp/search?ie=UTF8&amp;index=videogames&amp;tag=mobygames02-20&amp;keywords=Cocoto: Kart Racer PlayStation 2,amazon,2,838,,Cocoto: Kart Racer PlayStation 2,,,0,
conflict-global-terror,2358, https://www.amazon.com/gp/search?ie=UTF8&amp;index=videogames&amp;tag=mobygames02-20&amp;keywords=Conflict: Global Terror PlayStation 2,amazon,2,#N/A,,Conflict: Global Terror PlayStation 2,,,0,
curious-george_,2550, https://www.amazon.com/gp/search?ie=UTF8&amp;index=videogames&amp;tag=mobygames02-20&amp;keywords=Curious George PlayStation 2,amazon,2,4103,,Curious George PlayStation 2,,,0,
ddrmax-2-dance-dance-revolution,2663, https://www.amazon.com/gp/search?ie=UTF8&amp;index=videogames&amp;tag=mobygames02-20&amp;keywords=DDRMAX 2: Dance Dance Revolution PlayStation 2,amazon,2,4003,,DDRMAX 2: Dance Dance Revolution PlayStation 2,,,0,
dead-to-rights-ii,2670, https://www.amazon.com/gp/search?ie=UTF8&amp;index=videogames&amp;tag=mobygames02-20&amp;keywords=Dead to Rights II PlayStation 2,amazon,2,4279,,Dead to Rights II PlayStation 2,,,0,
