MobyGames Name,Master_ID,,Game Title,MobyGames Game ID,MobyGames URL,Release year,Price,Price(n/a=0),moby score,Second_hand_Available_all,Second_hand_over100$,Available_New_distribution,New_distribution_only(no second hand),Category,カテゴリ名,count_dummy,Available?,Source of availability,Availability notes,Platform,Product code,Why omitted?,,
blue-marlin,1,Historical_games,The Blue Marlin,17925,http://www.mobygames.com/game/blue-marlin,1991,18.99,18.99399558,6.6,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
blowup,2,Historical_games,Blowup,77962,http://www.mobygames.com/game/blowup,1982,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,-0.009463036
desert-rider,3,Historical_games,Desert Rider,175068,http://www.mobygames.com/game/desert-rider,1984,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
jinxter,4,Historical_games,Jinxter,1291,http://www.mobygames.com/game/jinxter,1987,11.55,11.55021202,7.2,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,https://strandgames.com/games/jinxter,,,,,,
3-cushion-billiards,5,Historical_games,3 Cushion Billiards,170381,http://www.mobygames.com/game/3-cushion-billiards,1979,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
oddsun,6,Historical_games,OddSun,22127,http://www.mobygames.com/game/oddsun,2006,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
typing-tutor-iii,7,Historical_games,Typing Tutor III,140146,http://www.mobygames.com/game/typing-tutor-iii,1985,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
slime,8,Historical_games,Slime,69417,http://www.mobygames.com/game/slime,1991,3.36,3.35852225,,1,0,0,0,1,A: 中古流通のみ,1,N,,"Originally freeware, no longer distributed",,,,,
hind-the-russian-combat-helicopter-simulation,9,Historical_games,Hind: The Russian Combat Helicopter Simulation,620,http://www.mobygames.com/game/hind-the-russian-combat-helicopter-simulation,1996,9.96,9.955619527,7.6,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,https://www.gog.com/en/game/hind,,,,,,
scud-the-disposable-assassin,10,Historical_games,Scud: The Disposable Assassin,14635,http://www.mobygames.com/game/scud-the-disposable-assassin,1997,2,19.99590768,6,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
1047/hexxagon-ii/,11,Historical_games,Hexxagon 2,1047,https://www.mobygames.com/game/1047/hexxagon-ii/,1993,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
tombs-treasure,12,Historical_games,Tombs & Treasure,12811,http://www.mobygames.com/game/tombs-treasure,1988,,0,6.2,0,0,0,0,0,F:入手困難,1,N,,,,,,,
tenchu-z,13,Historical_games,Tenchu Z,38884,http://www.mobygames.com/game/tenchu-z,2006,9,8.996041742,5.6,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
mister-slime,14,Historical_games,Mister Slime,89155,http://www.mobygames.com/game/mister-slime,2007,0.75,0.754961934,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
i-of-the-dragon,15,Historical_games,I of the Dragon,11613,http://www.mobygames.com/game/i-of-the-dragon,2002,,0,6.4,0,0,1.2,1.3,1.2,C:正規デジタル流通のみ,1,Y,https://www.gog.com/en/game/the_i_of_the_dragon,,,,,,
bassmasters-2000,16,Historical_games,BassMasters 2000,36512,http://www.mobygames.com/game/bassmasters-2000,1999,6.8,6.801713129,6.3,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
their-finest-hour-the-battle-of-britain,17,Historical_games,Their Finest Hour: The Battle of Britain,227,http://www.mobygames.com/game/their-finest-hour-the-battle-of-britain,1989,4.24,4.240487127,7.9,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
